Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu
0,0,62.325149059295654,0.0,0.0,954597376,1080479744,2.0071520805358887,0
1,8,61.938251972198486,0.0,0.2,1080479744,1393860608,1.673529028892517,1.0
2,0,54.40506863594055,0.0,0.5,1393860608,1359810560,2.0071520805358887,0
3,183,58.59051966667175,0.3,0.0,1359810560,1362092032,15.79786491394043,0.6271100655837559
4,188,58.682289600372314,0.0,0.0,1362321408,1515864064,30.43244171142578,0.6203427560060726
5,0,55.07711458206177,0.0,0.2,1516093440,1512972288,2.0071520805358887,0
6,7,55.53621506690979,0.0,0.2,1513201664,1514283008,1.7081832885742188,1.0
7,0,55.1325626373291,0.0,0.5,1514283008,1622061056,2.0071520805358887,0
8,0,55.12535381317139,0.3,0.0,1622061056,1513603072,2.0071520805358887,0
9,11,55.79077625274658,0.0,0.2,1513140224,1517322240,1.9602882862091064,0.8801117367933934
10,0,55.26337480545044,0.0,0.0,1517355008,1522503680,2.0071520805358887,0
11,152,57.88326954841614,0.0,0.0,1521811456,1524121600,13.16464900970459,0.599986532784576
12,218,59.54586362838745,0.0,0.0,1524350976,1537413120,20.291099548339844,0.66364590976901
13,0,55.520912647247314,0.2,0.0,1536245760,1523773440,2.0071520805358887,0
14,11,18.133972883224487,0.0,0.0,1523404800,1599049728,10.000534057617188,0.2515565919019027
15,0,55.53656482696533,0.2,0.0,1599279104,1528598528,2.0071520805358887,0
16,206,59.1337149143219,0.0,0.0,1528827904,1541468160,19.019872665405273,0.6812073389463522
17,247,58.43639302253723,0.5,0.0,1541566464,1544663040,18.78704261779785,0.6982296222987074
18,0,53.65696954727173,0.2,0.2,1544630272,1529659392,2.0071520805358887,0
19,8,53.94523525238037,0.3,0.0,1529626624,1522913280,1.8123834133148193,1.0
20,0,53.60986137390137,0.0,0.0,1522913280,1525608448,2.0071520805358887,0
